Origin_ID,Origin_Name,Dest_ID,Dest_Name,Ridership_2017_observed,Ridership_2022_diesel,Ridership_2022_PCEP,Ridership_2029_PCEP_noTransbay,Ridership_2029_PCEP,Ridership_2029_HSR1,Ridership_2033_HSR1,Ridership_2033_HSR2,Ridership_2040_HSR2,Ridership_2040_moderate,Ridership_2040_high
1,Transbay,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
2,4th and King,1,Transbay,0,0,0,0,53,82,84,51,53,437,422
4,22nd St,1,Transbay,0,0,0,0,25,102,112,100,118,193,232
7,Bayshore,1,Transbay,0,0,0,0,29,90,105,98,126,144,138
8,South San Francisco,1,Transbay,0,0,0,0,344,212,240,234,287,705,681
9,San Bruno,1,Transbay,0,0,0,0,193,236,250,246,273,282,269
10,Millbrae,1,Transbay,0,0,0,0,222,273,284,284,302,459,445
11,Broadway,1,Transbay,0,0,0,0,228,225,238,238,260,265,255
12,Burlingame,1,Transbay,0,0,0,0,280,285,295,295,316,308,301
13,San Mateo,1,Transbay,0,0,0,0,329,390,408,408,439,365,396
14,Hayward Park,1,Transbay,0,0,0,0,216,220,238,238,272,278,269
15,Hillsdale,1,Transbay,0,0,0,0,362,522,547,547,601,915,853
16,Belmont,1,Transbay,0,0,0,0,210,201,211,211,227,233,243
17,San Carlos,1,Transbay,0,0,0,0,225,189,199,199,214,217,249
18,Redwood City,1,Transbay,0,0,0,0,366,403,424,424,469,726,709
20,Atherton,1,Transbay,0,0,0,0,157,125,133,133,147,157,153
21,Menlo Park,1,Transbay,0,0,0,0,176,142,154,154,173,172,176
22,Palo Alto,1,Transbay,0,0,0,0,888,575,600,600,653,1785,1752
24,California Ave,1,Transbay,0,0,0,0,400,338,354,354,381,362,356
25,San Antonio,1,Transbay,0,0,0,0,297,256,278,278,320,326,325
26,Mountain View,1,Transbay,0,0,0,0,557,565,593,593,643,858,840
27,Sunnyvale,1,Transbay,0,0,0,0,477,499,532,532,585,809,788
28,Lawrence,1,Transbay,0,0,0,0,305,312,336,336,379,397,392
30,Santa Clara,1,Transbay,0,0,0,0,290,232,245,245,272,292,291
31,College Park,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,1,Transbay,0,0,0,0,372,313,325,304,145,433,488
33,Tamien,1,Transbay,0,0,0,0,128,152,165,165,191,244,309
34,Capitol,1,Transbay,0,0,0,0,0,0,0,0,0,76,84
35,Blossom Hill,1,Transbay,0,0,0,0,0,0,0,0,0,108,120
36,Morgan Hill,1,Transbay,0,0,0,0,0,0,0,0,0,65,79
37,San Martin,1,Transbay,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,1,Transbay,0,0,0,0,0,0,0,0,0,0,19
1,Transbay,2,4th and King,0,0,0,0,17,52,53,18,22,374,358
2,4th and King,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
4,22nd St,2,4th and King,5,9,7,9,12,49,56,56,71,148,182
7,Bayshore,2,4th and King,1,8,16,15,14,16,18,18,23,28,27
8,South San Francisco,2,4th and King,15,109,236,323,193,147,173,173,222,470,454
9,San Bruno,2,4th and King,58,100,189,183,167,174,196,196,232,246,237
10,Millbrae,2,4th and King,32,155,218,300,285,325,360,360,422,530,504
11,Broadway,2,4th and King,61,51,154,191,148,137,152,152,177,182,173
12,Burlingame,2,4th and King,194,176,246,261,170,165,180,180,204,199,194
13,San Mateo,2,4th and King,157,223,334,326,209,209,228,228,257,232,241
14,Hayward Park,2,4th and King,39,65,111,175,128,120,134,134,161,162,155
15,Hillsdale,2,4th and King,256,199,343,297,212,261,289,289,337,459,427
16,Belmont,2,4th and King,117,86,142,161,123,113,122,122,138,143,142
17,San Carlos,2,4th and King,125,93,147,174,130,113,121,121,133,136,143
18,Redwood City,2,4th and King,289,219,329,361,236,243,268,268,313,406,391
20,Atherton,2,4th and King,41,46,73,95,94,72,78,78,89,97,96
21,Menlo Park,2,4th and King,190,98,90,121,98,80,89,89,105,108,109
22,Palo Alto,2,4th and King,410,511,910,769,366,355,384,384,443,683,670
24,California Ave,2,4th and King,220,179,254,303,212,192,205,205,229,228,227
25,San Antonio,2,4th and King,171,82,189,212,165,138,155,155,186,196,195
26,Mountain View,2,4th and King,446,371,502,501,309,307,335,335,379,457,442
27,Sunnyvale,2,4th and King,383,318,488,398,274,266,292,292,335,407,395
28,Lawrence,2,4th and King,53,112,173,212,179,174,191,191,223,234,231
30,Santa Clara,2,4th and King,110,180,312,218,210,144,156,156,180,192,191
31,College Park,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
32,San Jose Diridon,2,4th and King,285,300,602,299,274,271,301,279,124,345,417
33,Tamien,2,4th and King,0,26,130,125,85,103,116,116,150,174,219
34,Capitol,2,4th and King,0,0,0,0,0,0,0,0,0,48,52
35,Blossom Hill,2,4th and King,0,0,0,0,0,0,0,0,0,68,75
36,Morgan Hill,2,4th and King,0,0,0,0,0,0,0,0,0,39,48
37,San Martin,2,4th and King,0,0,0,0,0,0,0,0,0,0,0
38,Gilroy,2,4th and King,0,0,0,0,0,0,0,0,0,0,7
